origin_date,target,target_end_date,horizon,location,team_id,model_id,metric,value_absolute,value_relative,n_models,rank,rank_score
2024-10-23,hospital admissions,2024-10-20,1,MT,ISI,CovidABCaster,WIS,3.06913043478261,-1.3135728915534124,6,5,0.06478260869565002
2024-10-23,hospital admissions,2024-10-20,1,MT,respicast,hubEnsemble,WIS,2.37739130434783,-0.9451223132140204,6,3,0.41065217391304004
2024-10-23,hospital admissions,2024-10-20,1,MT,respicast,quantileBaseline,WIS,1.23478260869565,0.0,6,2,0.9819565217391301
2024-10-23,hospital admissions,2024-10-20,1,PL,respicast,quantileBaseline,WIS,9.64391304347826,0.0,1,1,0.0
2024-10-23,hospital admissions,2024-10-20,1,PT,ECDC,SARIMA,WIS,31.9604347826087,0.3157562416715095,5,1,1.0
2024-10-23,hospital admissions,2024-10-20,1,PT,ECDC,soca_simplex,WIS,80.0,-1.0079567238283431,5,5,0.0
2024-10-23,hospital admissions,2024-10-20,1,PT,ISI,CovBcast,WIS,58.814347826087,-0.5641248688984899,5,4,0.44100424468961186
2024-10-23,hospital admissions,2024-10-20,1,PT,respicast,hubEnsemble,WIS,36.17,0.13724967817796957,5,2,0.9123729534532224
2024-10-23,hospital admissions,2024-10-20,1,PT,respicast,quantileBaseline,WIS,39.78,0.0,5,3,0.8372265614393933
2024-10-23,hospital admissions,2024-10-20,1,SK,ECDC,SARIMA,WIS,16.7047826086957,-1.1628455163030476,7,6,0.49489004471210535
2024-10-23,hospital admissions,2024-10-20,1,SK,ECDC,soca_simplex,WIS,26.1369565217391,-1.8086754668096547,7,7,0.0
2024-10-23,hospital admissions,2024-10-20,1,SK,ISI,CovBcast,WIS,7.29521739130435,0.0323928166801703,7,3,0.9885938498038142
2024-10-23,hospital admissions,2024-10-20,1,SK,ISI,CovidABCaster,WIS,7.49478260869565,-0.0065428458667717805,7,5,0.9781230039237157
2024-10-23,hospital admissions,2024-10-20,1,SK,ISI,RC_AdaptEns2,WIS,7.12869565217391,0.06570565775212973,7,2,0.9973309608540926
2024-10-23,hospital admissions,2024-10-20,1,SK,respicast,hubEnsemble,WIS,7.07782608695652,0.07603747358658615,7,1,1.0
2024-10-23,hospital admissions,2024-10-20,1,SK,respicast,quantileBaseline,WIS,7.46086956521739,0.0,7,4,0.9799023633543206
2024-10-23,hospital admissions,2024-10-27,2,CY,ECDC,SARIMA,WIS,5.85565217391304,-0.13958315406279728,7,6,0.2440692858039413
2024-10-23,hospital admissions,2024-10-27,2,CY,ECDC,soca_simplex,WIS,4.48782608695652,0.24422993648079827,7,4,0.44150872348437287
2024-10-23,hospital admissions,2024-10-27,2,CY,ISI,CovBcast,WIS,3.60260869565217,0.5612047467856421,7,3,0.5692858039412579
2024-10-23,hospital admissions,2024-10-27,2,CY,ISI,CovidABCaster,WIS,0.618695652173913,3.1029449052383655,7,1,1.0
