"target_end_date","location","value","output_type_id","origin_date","output_type","target","horizon"
2026-03-01,"LV",32,"0.01",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"LV",35,"0.025",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"LV",38,"0.05",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"LV",41,"0.1",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"LV",43,"0.15",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"LV",45,"0.2",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"LV",47,"0.25",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"LV",48,"0.3",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"LV",50,"0.35",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"LV",51,"0.4",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"LV",52,"0.45",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"LV",54,"0.5",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"LV",55,"0.55",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"LV",56,"0.6",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"LV",58,"0.65",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"LV",60,"0.7",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"LV",61,"0.75",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"LV",63,"0.8",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"LV",65,"0.85",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"LV",68,"0.9",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"LV",73,"0.95",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"LV",76,"0.975",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"LV",82,"0.99",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"MT",0,"0.01",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"MT",0,"0.025",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"MT",0,"0.05",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"MT",0,"0.1",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"MT",0,"0.15",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"MT",0,"0.2",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"MT",1,"0.25",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"MT",1,"0.3",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"MT",1,"0.35",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"MT",1,"0.4",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"MT",2,"0.45",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"MT",2,"0.5",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"MT",2,"0.55",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"MT",3,"0.6",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"MT",3,"0.65",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"MT",4,"0.7",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"MT",4,"0.75",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"MT",5,"0.8",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"MT",5,"0.85",2026-03-11,"quantile","hospital admissions",0
2026-03-01,"MT",6,"0.9",2026-03-11,"quantile","hospital admissions",0
