"target_end_date","location","value","output_type_id","origin_date","output_type","target","horizon"
2026-04-26,"LV",1,"0.01",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"LV",2,"0.025",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"LV",3,"0.05",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"LV",3,"0.1",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"LV",4,"0.15",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"LV",5,"0.2",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"LV",5,"0.25",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"LV",5,"0.3",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"LV",6,"0.35",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"LV",6,"0.4",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"LV",7,"0.45",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"LV",7,"0.5",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"LV",8,"0.55",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"LV",8,"0.6",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"LV",8,"0.65",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"LV",9,"0.7",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"LV",10,"0.75",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"LV",10,"0.8",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"LV",11,"0.85",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"LV",12,"0.9",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"LV",14,"0.95",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"LV",15,"0.975",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"LV",17,"0.99",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"MT",0,"0.01",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"MT",0,"0.025",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"MT",0,"0.05",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"MT",0,"0.1",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"MT",0,"0.15",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"MT",0,"0.2",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"MT",0,"0.25",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"MT",0,"0.3",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"MT",0,"0.35",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"MT",0,"0.4",2026-04-29,"quantile","hospital admissions",1
