"target_end_date","location","value","output_type_id","origin_date","output_type","target","horizon"
2026-03-15,"CZ",0,"0.01",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"CZ",0,"0.025",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"CZ",1,"0.05",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"CZ",1,"0.1",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"CZ",2,"0.15",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"CZ",2,"0.2",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"CZ",2,"0.25",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"CZ",2,"0.3",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"CZ",3,"0.35",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"CZ",3,"0.4",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"CZ",3,"0.45",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"CZ",4,"0.5",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"CZ",4,"0.55",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"CZ",4,"0.6",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"CZ",4,"0.65",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"CZ",5,"0.7",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"CZ",5,"0.75",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"CZ",6,"0.8",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"CZ",6,"0.85",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"CZ",7,"0.9",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"CZ",8,"0.95",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"CZ",9,"0.975",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"CZ",10,"0.99",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"EE",4,"0.01",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"EE",5,"0.025",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"EE",6,"0.05",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"EE",8,"0.1",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"EE",9,"0.15",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"EE",9,"0.2",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"EE",10,"0.25",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"EE",11,"0.3",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"EE",12,"0.35",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"EE",12,"0.4",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"EE",13,"0.45",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"EE",14,"0.5",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"EE",14,"0.55",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"EE",15,"0.6",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"EE",16,"0.65",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"EE",17,"0.7",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"EE",18,"0.75",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"EE",19,"0.8",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"EE",20,"0.85",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"EE",22,"0.9",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"EE",24,"0.95",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"EE",26,"0.975",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"EE",28,"0.99",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"LV",23,"0.01",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"LV",26,"0.025",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"LV",28,"0.05",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"LV",31,"0.1",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"LV",33,"0.15",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"LV",34,"0.2",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"LV",36,"0.25",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"LV",38,"0.3",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"LV",40,"0.35",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"LV",41,"0.4",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"LV",43,"0.45",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"LV",46,"0.5",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"LV",48,"0.55",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"LV",50,"0.6",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"LV",53,"0.65",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"LV",55,"0.7",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"LV",57,"0.75",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"LV",59,"0.8",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"LV",62,"0.85",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"LV",65,"0.9",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"LV",70,"0.95",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"LV",74,"0.975",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"LV",79,"0.99",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"MT",0,"0.01",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"MT",0,"0.025",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"MT",0,"0.05",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"MT",0,"0.1",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"MT",0,"0.15",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"MT",0,"0.2",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"MT",0,"0.25",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"MT",0,"0.3",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"MT",0,"0.35",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"MT",0,"0.4",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"MT",0,"0.45",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"MT",0,"0.5",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"MT",1,"0.55",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"MT",1,"0.6",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"MT",1,"0.65",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"MT",1,"0.7",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"MT",1,"0.75",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"MT",1,"0.8",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"MT",2,"0.85",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"MT",2,"0.9",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"MT",2,"0.95",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"MT",3,"0.975",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"MT",3,"0.99",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PL",11,"0.01",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PL",13,"0.025",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PL",14,"0.05",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PL",16,"0.1",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PL",17,"0.15",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PL",18,"0.2",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PL",19,"0.25",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PL",20,"0.3",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PL",21,"0.35",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PL",22,"0.4",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PL",22,"0.45",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PL",23,"0.5",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PL",24,"0.55",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PL",25,"0.6",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PL",25,"0.65",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PL",26,"0.7",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PL",27,"0.75",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PL",28,"0.8",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PL",30,"0.85",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PL",31,"0.9",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PL",34,"0.95",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PL",36,"0.975",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PL",38,"0.99",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PT",0,"0.01",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PT",0,"0.025",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PT",0,"0.05",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PT",1,"0.1",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PT",1,"0.15",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PT",1,"0.2",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PT",2,"0.25",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PT",2,"0.3",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PT",2,"0.35",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PT",2,"0.4",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PT",2,"0.45",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PT",3,"0.5",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PT",3,"0.55",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PT",3,"0.6",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PT",3,"0.65",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PT",4,"0.7",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PT",4,"0.75",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PT",4,"0.8",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PT",5,"0.85",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PT",5,"0.9",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PT",6,"0.95",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PT",7,"0.975",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"PT",8,"0.99",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"SK",0,"0.01",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"SK",0,"0.025",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"SK",1,"0.05",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"SK",1,"0.1",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"SK",1,"0.15",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"SK",2,"0.2",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"SK",2,"0.25",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"SK",2,"0.3",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"SK",2,"0.35",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"SK",3,"0.4",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"SK",3,"0.45",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"SK",3,"0.5",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"SK",3,"0.55",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"SK",4,"0.6",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"SK",4,"0.65",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"SK",4,"0.7",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"SK",4,"0.75",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"SK",5,"0.8",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"SK",5,"0.85",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"SK",6,"0.9",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"SK",7,"0.95",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"SK",7,"0.975",2026-03-18,"quantile","hospital admissions",1
2026-03-15,"SK",9,"0.99",2026-03-18,"quantile","hospital admissions",1
2026-03-22,"CZ",0,"0.01",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"CZ",0,"0.025",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"CZ",0,"0.05",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"CZ",1,"0.1",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"CZ",1,"0.15",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"CZ",1,"0.2",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"CZ",2,"0.25",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"CZ",2,"0.3",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"CZ",2,"0.35",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"CZ",2,"0.4",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"CZ",3,"0.45",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"CZ",3,"0.5",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"CZ",3,"0.55",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"CZ",3,"0.6",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"CZ",4,"0.65",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"CZ",4,"0.7",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"CZ",4,"0.75",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"CZ",5,"0.8",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"CZ",5,"0.85",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"CZ",6,"0.9",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"CZ",7,"0.95",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"CZ",8,"0.975",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"CZ",9,"0.99",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"EE",3,"0.01",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"EE",4.97500000000001,"0.025",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"EE",6,"0.05",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"EE",7,"0.1",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"EE",8,"0.15",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"EE",9,"0.2",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"EE",9,"0.25",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"EE",10,"0.3",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"EE",11,"0.35",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"EE",11,"0.4",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"EE",12,"0.45",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"EE",13,"0.5",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"EE",14,"0.55",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"EE",14,"0.6",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"EE",15,"0.65",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"EE",16,"0.7",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"EE",17,"0.75",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"EE",18,"0.8",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"EE",19,"0.85",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"EE",21,"0.9",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"EE",23,"0.95",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"EE",25,"0.975",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"EE",27,"0.99",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"LV",21,"0.01",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"LV",23,"0.025",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"LV",25,"0.05",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"LV",28,"0.1",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"LV",30,"0.15",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"LV",32,"0.2",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"LV",34,"0.25",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"LV",36,"0.3",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"LV",38,"0.35",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"LV",40,"0.4",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"LV",42,"0.45",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"LV",45,"0.5",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"LV",48,"0.55",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"LV",51,"0.6",2026-03-18,"quantile","hospital admissions",2
2026-03-22,"LV",55,"0.65",2026-03-18,"quantile","hospital admissions",2
